Filename,exit_code,real_time,solve_real_time,SAT_verified
0855033e761d91ae367e867c5a569f9e-atco_enc1_opt2_10_15,20,139.44,139.43,0,139.44
085792654d945c1de700245916f2c7f6-tseitingrid5x185_shuffled,20,1031.93,1031.91,0,1031.93
0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12,10,73.06,73.05,0,73.06
088ffd086f2d5e55553d5e79aa30aaf5-4col280_9_9.shuffled,10,1514.42,1514.41,0,1514.42
089456508f74be2d96f4112cc495f80a-Eternity-10-06_c18,10,1202.82,1202.78,0,1202.82
08a25022c4136f2ceb36db62ce3503bb-c6bi_i,20,18.32,18.31,0,18.32
08a68ba9d062c0856f1bc9cce7907b11-sgi-difficult4,10,0.02,0.02,0,0.02
08abbb56b2345b2da7af8866a4e8ad44-size_4_5_5_i037_w31_r9,20,2063.45,2063.45,0,2063.45
08acbb7417346eb7dc0c860817be0cc3-MD5-28-3,0,5000.03,5000.01,0,5000.03
08b6f45c900d30fb65462a65df69e214-transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT,10,765.10,764.94,0,765.10
08be288536c3178e6874a5676493923c-g2-hwmcc15deep-bob12s02-k16,0,5000.04,5000.00,0,5000.04
08c21a3bc091abcb67b883061e2381c9-mm-2x3-8-8-sb.1.shuffled-as.sat03-1504,20,409.78,409.77,0,409.78
08cb0cf252b65c30c7c55218825c6ca0-hsat_vc12072,20,1.18,1.11,0,1.18
08cf53ca00dce11f5bfc02121c9bcd33-GreenTao_2-3-5_528,20,327.26,327.25,0,327.26
08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220,10,523.23,522.88,0,523.23
08e1c46acda38a12fa3229f9f224425d-Haystacks-ext-12_c18,20,2002.04,2002.04,0,2002.04
08e8e08679a3c2ccb537d682165cb351-by-X-2-7-100,20,983.80,983.76,0,983.80
08eeb55c898dc6bedc915ed191dab009-total-10-11-u,20,15.54,15.52,0,15.54
08f2462515d5c1ffd0881dd5801f54bd-SGI_30_70_28_60_5-dir.shuffled-as.sat03-177,0,5000.01,5000.00,0,5000.01
